Month,participantId,Education,Food,Recreation,Rent,Shelter,Wage,Expense,educationLevel
2022-03,0,38.01,156.56,173.5026786,0.0,554.99,5656.31,923.07,HighSchoolOrCollege
2022-03,1,38.01,174.44,316.6136667,0.0,554.99,8934.38,1084.05,HighSchoolOrCollege
2022-03,2,12.81,169.27,213.8365,0.0,556.55,8519.89,952.47,HighSchoolOrCollege
2022-03,3,38.01,161.07,184.6703333,0.0,554.99,4341.88,938.74,HighSchoolOrCollege
2022-03,4,12.81,185.68,405.399,4809.28,5829.6,6113.87,11242.77,Bachelors
2022-03,5,12.81,213.2,251.5,0.0,600.03,2722.97,1077.54,HighSchoolOrCollege
2022-03,6,12.81,205.29,321.9466667,0.0,581.19,4412.02,1121.24,HighSchoolOrCollege
2022-03,7,12.81,194.77,392.7456667,0.0,1013.2,4226.42,1613.53,Bachelors
2022-03,8,12.81,185.84,206.378869,0.0,1179.63,2942.64,1584.66,Bachelors
2022-03,9,91.14,175.46,189.7285,0.0,558.0,7756.83,1014.32,Bachelors
2022-03,10,12.81,163.33,181.49,0.0,560.9,4364.19,918.53,HighSchoolOrCollege
2022-03,11,73.2,187.88,214.5003571,0.0,556.17,5705.61,1031.75,HighSchoolOrCollege
2022-03,12,38.01,160.55,179.0797143,0.0,556.88,4521.44,934.52,HighSchoolOrCollege
2022-03,13,12.81,176.73,263.6468571,0.0,1301.56,4221.24,1754.74,Bachelors
2022-03,14,12.81,182.02,282.5377381,0.0,1135.74,5247.38,1613.11,Graduate
2022-03,15,38.01,150.48,172.0283333,0.0,558.78,6100.03,919.3,HighSchoolOrCollege
2022-03,16,12.81,199.08,261.8286667,0.0,562.35,7951.96,1036.07,Bachelors
2022-03,17,38.01,176.97,459.296,0.0,558.78,10746.38,1233.06,Bachelors
2022-03,18,91.14,168.88,138.4456667,0.0,559.62,10844.88,958.08,Graduate
2022-03,19,12.81,181.86,328.8959524,0.0,571.05,6225.44,1094.61,Bachelors
2022-03,20,12.81,162.14,283.7964286,0.0,573.95,3857.58,1032.7,HighSchoolOrCollege
2022-03,21,12.81,255.32,483.7296429,0.0,688.44,1950.06,1440.3,Low
2022-03,22,12.81,179.1,250.4680952,0.0,1014.55,2654.66,1456.93,HighSchoolOrCollege
2022-03,23,91.14,173.34,184.1687143,0.0,559.62,5049.62,1008.26,Low
2022-03,24,12.81,196.9,321.3696667,0.0,573.95,9801.79,1105.03,Bachelors
2022-03,25,12.81,171.44,294.3226667,0.0,586.99,4027.64,1065.56,HighSchoolOrCollege
2022-03,26,12.81,198.39,503.1031667,0.0,586.99,4071.02,1301.29,HighSchoolOrCollege
2022-03,27,38.01,169.83,459.6738571,0.0,562.57,4203.18,1230.08,HighSchoolOrCollege
2022-03,28,38.01,153.26,424.2322619,0.0,562.57,8654.79,1178.07,Bachelors
2022-03,29,12.81,178.98,192.7654762,0.0,615.98,3164.76,1000.53,Low
2022-03,30,12.81,205.92,336.537,5778.03,6393.4,2363.01,12726.69,HighSchoolOrCollege
2022-03,31,91.14,171.4,141.169,0.0,567.36,9640.84,971.07,Graduate
2022-03,32,38.01,167.4,316.2540952,0.0,570.14,4094.55,1091.81,HighSchoolOrCollege
2022-03,33,73.2,178.88,141.126,0.0,573.34,7698.07,966.55,Bachelors
2022-03,34,12.81,171.52,483.834619,2095.95,2061.06,5887.41,4825.18,Low
2022-03,35,12.81,190.4,447.2439524,0.0,626.12,1802.52,1276.58,Low
2022-03,36,12.81,178.58,261.333,0.0,642.06,16203.8,1094.78,Graduate
2022-03,37,38.01,156.92,293.3046667,0.0,573.93,3885.34,1062.16,HighSchoolOrCollege
2022-03,38,38.01,169.6,293.652,0.0,573.93,3409.46,1075.19,Low
2022-03,39,12.81,178.92,372.6120238,0.0,749.32,5957.39,1313.67,Bachelors
2022-03,40,38.01,191.28,439.4102619,0.0,602.34,1626.26,1271.04,Low
2022-03,41,12.81,192.66,357.9801905,0.0,665.25,1810.09,1228.7,HighSchoolOrCollege
2022-03,42,73.2,163.01,288.928,0.0,576.77,3723.22,1101.91,HighSchoolOrCollege
2022-03,43,38.01,164.7,663.395,0.0,577.72,7588.73,1443.83,Bachelors
2022-03,44,12.81,75.55,0.0,0.0,0.0,1114.79,88.36,Low
2022-03,45,38.01,156.12,115.7353333,0.0,577.72,9380.75,887.58,Graduate
2022-03,46,38.01,161.38,368.4920833,0.0,577.72,3683.58,1145.61,HighSchoolOrCollege
2022-03,47,12.81,171.94,228.5196667,0.0,665.25,3688.97,1078.52,HighSchoolOrCollege
2022-03,48,12.81,189.58,271.5189167,0.0,665.25,3777.11,1139.16,HighSchoolOrCollege
2022-03,49,38.01,169.87,219.595,0.0,579.61,8746.28,1007.08,Graduate
2022-03,50,12.81,216.32,339.4836667,0.0,665.25,4703.77,1233.87,HighSchoolOrCollege
2022-03,51,12.81,168.12,162.3865,0.0,668.15,8396.78,1011.46,Graduate
2022-03,52,12.81,180.24,275.453,0.0,900.05,2153.73,1368.56,HighSchoolOrCollege
2022-03,53,38.01,154.75,132.9466667,0.0,580.2,5456.94,905.91,Low
2022-03,54,12.81,193.92,317.8637619,0.0,1556.36,10107.6,2080.95,Graduate
2022-03,55,12.81,217.74,433.5458333,0.0,668.99,1910.15,1333.08,HighSchoolOrCollege
2022-03,56,12.81,183.8,253.0259524,0.0,1068.07,2647.3,1517.71,Graduate
2022-03,57,12.81,162.73,355.452,0.0,681.2,7352.99,1212.19,Graduate
2022-03,58,12.81,170.62,242.0304762,0.0,580.25,16676.95,1005.71,Graduate
2022-03,59,38.01,165.82,265.7704762,0.0,583.4,13620.34,1053.01,Bachelors
2022-03,60,12.81,183.87,437.708119,0.0,687.0,3730.34,1321.39,HighSchoolOrCollege
2022-03,61,12.81,182.85,219.9793333,0.0,696.8,3574.82,1112.44,HighSchoolOrCollege
2022-03,62,12.81,167.01,394.259,0.0,696.8,4869.22,1270.88,Bachelors
2022-03,63,12.81,177.87,473.7857619,0.0,698.59,3661.83,1363.06,HighSchoolOrCollege
2022-03,64,12.81,182.4,230.6483333,0.0,698.59,3354.77,1124.45,HighSchoolOrCollege
2022-03,65,12.81,159.01,192.1521429,0.0,698.59,5887.22,1062.57,HighSchoolOrCollege
2022-03,66,12.81,247.97,555.522,0.0,1174.17,8332.5,1990.47,Bachelors
2022-03,67,12.81,160.74,183.4217143,0.0,698.63,3395.09,1055.6,HighSchoolOrCollege
2022-03,68,12.81,177.36,335.33,0.0,701.49,3266.06,1226.99,HighSchoolOrCollege
2022-03,69,12.81,175.42,325.4400952,0.0,1075.42,3262.43,1589.09,Bachelors
2022-03,70,12.81,207.73,298.2829167,0.0,846.42,3603.89,1365.24,HighSchoolOrCollege
2022-03,71,12.81,211.24,398.8663095,0.0,846.42,2254.34,1469.34,Bachelors
2022-03,72,38.01,168.27,248.3778571,0.0,587.19,6617.83,1041.85,Bachelors
2022-03,73,12.81,168.58,341.1013333,0.0,702.29,4686.97,1224.78,Bachelors
2022-03,74,38.01,187.95,443.1834524,0.0,602.34,1693.55,1271.49,HighSchoolOrCollege
2022-03,75,0.0,253.6,391.1825,0.0,914.44,3878.05,1559.22,HighSchoolOrCollege
2022-03,76,0.0,182.4,206.7283333,0.0,702.29,2979.83,1091.41,HighSchoolOrCollege
2022-03,77,0.0,194.58,276.0096429,0.0,707.78,4351.12,1178.37,HighSchoolOrCollege
2022-03,78,0.0,158.71,318.255,0.0,587.99,15918.23,1064.96,Graduate
2022-03,79,0.0,158.02,148.91,0.0,587.99,3940.75,894.92,HighSchoolOrCollege
2022-03,80,0.0,164.86,187.3400952,0.0,709.61,3152.65,1061.81,HighSchoolOrCollege
2022-03,81,0.0,172.97,210.5768571,0.0,1121.11,4166.25,1504.66,Graduate
2022-03,82,0.0,191.47,330.2129643,0.0,1066.73,4884.79,1588.41,Graduate
2022-03,83,0.0,175.33,145.7733333,0.0,589.08,3797.32,910.18,HighSchoolOrCollege
2022-03,84,0.0,171.52,297.448,0.0,715.09,3198.85,1184.06,HighSchoolOrCollege
2022-03,85,0.0,165.71,416.084,0.0,715.09,2932.51,1296.89,HighSchoolOrCollege
2022-03,86,0.0,175.04,216.5043333,0.0,715.98,3148.71,1107.52,HighSchoolOrCollege
2022-03,87,0.0,199.57,325.0963333,0.0,628.86,2005.74,1153.53,HighSchoolOrCollege
2022-03,88,0.0,180.48,279.7948333,0.0,602.34,1830.05,1062.61,HighSchoolOrCollege
2022-03,89,0.0,168.75,220.2776389,0.0,590.57,3666.0,979.6,HighSchoolOrCollege
2022-03,90,0.0,150.71,142.526,0.0,590.57,6775.72,883.81,HighSchoolOrCollege
2022-03,91,0.0,184.96,295.6057143,0.0,608.03,1707.37,1088.59,HighSchoolOrCollege
2022-03,92,0.0,157.45,219.2426667,0.0,720.58,3032.21,1097.27,HighSchoolOrCollege
2022-03,93,0.0,160.11,200.346381,0.0,720.58,4643.12,1081.03,HighSchoolOrCollege
2022-03,94,0.0,158.51,185.7338095,0.0,720.58,4876.15,1064.83,Bachelors
2022-03,95,0.0,174.07,465.2623333,0.0,724.24,2768.44,1363.57,Low
2022-03,96,0.0,167.64,220.3238333,0.0,724.24,2750.66,1112.2,HighSchoolOrCollege
2022-03,97,0.0,169.81,269.0509524,0.0,1014.55,4259.03,1453.41,Graduate
2022-03,98,0.0,176.12,290.0438095,0.0,724.24,2966.58,1190.4,HighSchoolOrCollege
2022-03,99,0.0,178.55,275.6926667,0.0,726.13,4281.52,1180.37,Bachelors
2022-03,100,0.0,181.7,114.666,0.0,597.37,2971.23,893.74,Low
2022-03,101,0.0,157.08,0.0,0.0,600.8,3723.35,757.88,HighSchoolOrCollege
2022-03,102,0.0,170.17,372.783631,0.0,602.34,6666.14,1145.29,Bachelors
2022-03,103,0.0,161.24,141.4526667,0.0,602.34,6729.84,905.03,Bachelors
2022-03,104,0.0,179.92,326.2646667,0.0,628.86,2006.34,1135.04,HighSchoolOrCollege
2022-03,105,0.0,188.8,282.7297381,0.0,839.46,2506.88,1310.99,HighSchoolOrCollege
2022-03,106,0.0,206.72,392.7966667,0.0,898.14,6442.32,1497.65,Bachelors
2022-03,107,0.0,167.13,235.7713333,0.0,726.13,2895.54,1129.03,HighSchoolOrCollege
2022-03,108,0.0,169.78,194.57,0.0,602.34,3500.54,966.7,HighSchoolOrCollege
2022-03,109,0.0,164.19,537.1863333,0.0,603.46,3984.97,1304.84,HighSchoolOrCollege
2022-03,110,0.0,169.16,369.5119643,0.0,603.46,3739.1,1142.13,HighSchoolOrCollege
2022-03,111,0.0,181.43,376.5789286,0.0,608.03,2650.64,1166.04,HighSchoolOrCollege
2022-03,112,0.0,179.47,374.83,0.0,740.7,7333.86,1295.0,Graduate
2022-03,113,0.0,162.92,184.2125,0.0,1104.33,4439.69,1451.47,Graduate
2022-03,114,0.0,158.3,169.6628333,0.0,742.53,6312.34,1070.49,Graduate
2022-03,115,0.0,176.77,481.763,0.0,742.53,3019.58,1401.06,HighSchoolOrCollege
2022-03,116,0.0,167.06,122.2093333,0.0,603.46,8366.4,892.72,Graduate
2022-03,117,0.0,167.6,385.3659524,4655.67,4441.31,5982.86,9649.94,Bachelors
